geoid,county_name,in_brightline_corridor,in_comparison_pool,treated_brightline,donor_pool,dist_to_nearest_station_mile,nearest_station,nearest_opened_year,exposure_0_0_5,exposure_0_5_1,exposure_1_2,exposure_2_3
12057005000,Hillsborough,False,True,0,1,77.61355977197405,Orlando,2023.0,0.0,0.0,0.0,0.0
12095016808,Orange,True,False,0,0,5.07061812308595,Orlando,2023.0,0.0,0.0,0.0,0.0
12095013513,Orange,True,False,0,0,6.440278580424576,Orlando,2023.0,0.0,0.0,0.0,0.0
12057010824,Hillsborough,False,True,0,1,71.56186527270448,Orlando,2023.0,0.0,0.0,0.0,0.0
12011091000,Broward,True,False,0,0,4.442388406840853,Aventura,2022.0,0.0,0.0,0.0,0.0
12086001901,Other,False,False,0,0,3.8715445015699417,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12099004206,Palm Beach,True,False,0,0,5.346075261484473,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12095016911,Orange,True,False,0,0,9.314762870608229,Orlando,2023.0,0.0,0.0,0.0,0.0
12095016814,Orange,True,False,0,0,5.65068214175746,Orlando,2023.0,0.0,0.0,0.0,0.0
12031016002,Duval,False,True,0,1,129.00557360520082,Orlando,2023.0,0.0,0.0,0.0,0.0
12086018400,Other,False,False,0,0,17.434167486786123,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12099004012,Palm Beach,True,False,0,0,7.210169035995816,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12099007301,Palm Beach,True,False,0,0,3.8779322186781577,Boca Raton,2022.0,0.0,0.0,0.0,0.026864428584370336
12031011000,Duval,False,True,0,1,139.6329836444817,Orlando,2023.0,0.0,0.0,0.0,0.0
12001000806,Alachua,False,True,0,1,104.94036185200463,Orlando,2023.0,0.0,0.0,0.0,0.0
12071001913,Lee,False,True,0,1,114.62948704113866,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12095013607,Orange,True,False,0,0,5.33863005604905,Orlando,2023.0,0.0,0.0,0.0,0.0
12095015003,Orange,True,False,0,0,17.804082385206225,Orlando,2023.0,0.0,0.0,0.0,0.0
12031014426,Duval,False,True,0,1,124.9122184831224,Orlando,2023.0,0.0,0.0,0.0,0.0
12057010210,Hillsborough,False,True,0,1,63.16312807962628,Orlando,2023.0,0.0,0.0,0.0,0.0
12057014010,Hillsborough,False,True,0,1,79.60084624281706,Orlando,2023.0,0.0,0.0,0.0,0.0
12099980500,Palm Beach,True,False,0,0,2.9434136468251846,West Palm Beach,2018.0,0.0,0.0,0.015251322004937173,0.4935802324602117
12011090503,Broward,True,False,0,0,6.332016591178225,Aventura,2022.0,0.0,0.0,0.0,0.0
12011020211,Broward,True,False,0,0,9.003425536838712,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011110368,Broward,True,False,0,0,16.321246420755084,Aventura,2022.0,0.0,0.0,0.0,0.0
12011090303,Broward,True,False,0,0,4.666539501897595,Aventura,2022.0,0.0,0.0,0.0,0.0
12071001101,Lee,False,True,0,1,111.3797505959099,Boca Raton,2022.0,0.0,0.0,0.0,0.0
12011050309,Broward,True,False,0,0,6.027927515904731,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12011090404,Broward,True,False,0,0,4.662984878932291,Aventura,2022.0,0.0,0.0,0.0,0.0
12011040701,Broward,True,False,0,0,2.1647377965032146,Fort Lauderdale,2018.0,0.0,0.0,0.2718857939699679,0.7281142060300378
12031016001,Duval,False,True,0,1,130.06309119859262,Orlando,2023.0,0.0,0.0,0.0,0.0
12086008202,Other,False,False,0,0,13.837718151765126,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12011010104,Broward,True,False,0,0,2.7883874610195156,Boca Raton,2022.0,0.0,0.0,0.0,0.7252324557250446
12011040203,Broward,True,False,0,0,5.4682523502675044,Fort Lauderdale,2018.0,0.0,0.0,0.0,0.0
12086000124,Other,False,False,0,0,4.573667538426986,Aventura,2022.0,0.0,0.0,0.0,0.0
12086015400,Other,False,False,0,0,13.66514486941075,MiamiCentral,2018.0,0.0,0.0,0.0,0.0
12099001600,Palm Beach,True,False,0,0,3.1710752123603205,West Palm Beach,2018.0,0.0,0.0,0.0,0.2538422330839652
12099007830,Palm Beach,True,False,0,0,9.678937148636653,West Palm Beach,2018.0,0.0,0.0,0.0,0.0
12099005951,Palm Beach,True,False,0,0,12.096706379288037,Boca Raton,2022.0,0.0,0.0,0.0,0.0
